species_id,species_name,common_name,noongar_name,category,i6,i5,i1,i2,i3,i4,s1,s2,s3,s4,s5,s6,species_info,photo_hlink
m22,Scaevola spinescens,Maroon Bush,Murin Murin,bush_medicine,y,n,y,n,n,n,y,y,y,y,y,y,"Whole plant boiled and drunk to treat cancer, intestinal complaints, heart disease, urinary and kidney problems.
Boiled stems were drunk to treat sores and boils.
Smoke from burning whole plant inhaled to treat colds.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Scaevola%20spinescens.jpg
m23,Corymbia calophylla,Marri,"Marri, Mari, Marril, Marree, Mundup, Nandup, Nundup, Kurrden, Kardan, Cardau, Gardan, Grydan, Mahree, Ngora, Ngumbat",bush_medicine,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"Resin used to treat wounds, upset stomachs, mouthwash, disinfectant, and eczema.
Seeds eaten to treat diarrhoea and constipation.
Leaves used to treat headaches, sinusitis, and colds.
Flowers used to treat diabetes.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Corymbia%20calophylla.jpg
m24,Atriplex nummularia,Old Man Saltbush,"Purngep, Pining, Binga",bush_medicine,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"Leaves used to cleanse skin, sores, burns, and wounds.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Atriplex%20nummularia.jpg
m25,Santalum acuminatum,Quandong,"Dumbari, Jawirli, Walku, Wanga, Wayanau, Wongil, Candang, Wong, Wonyill, Wolgol",bush_medicine,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"Seeds ground into animal fat used to treat sore muscles.
Leaves used to treat sores, boils, gonorrhoea, and diabetes",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Santalum%20acuminatum.jpg
m26,Acacia cyclops,Red-eyed Wattle,"Munyuret, Woolya Wah, Wilyawa",bush_medicine,Y,Y,n,Y,Y,Y,Y,Y,Y,Y,Y,Y,Juice of leaves used to treat eczema.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Acacia%20cyclops.jpg
m27,Callitris preissii,Rottnest Island Pine,Marro,bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,"Leaves, stems, and bark used to treat respiratory problems.
Infusions used to relieve colds and coughs, sinusitis, washes for burns and insect bites.
Nuts were used to treat sores, rashes, skin irritations.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Callitris%20preissii.jpg
m28,Kennedia prostrata,Running Postman,Wollung,bush_medicine,y,y,y,y,y,y,n,n,y,y,y,y,Nectar used to treat sore throats.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Kennedia%20prostrata.jpg
m29,Melaleuca cuticularis,Saltwater Paperbark,"Bibool, Bewel, Koll, Mudurda",bush_medicine,n,y,y,y,y,y,y,y,y,y,y,y,"Leaves used to treat colds.
Bark used as bandages",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Melaleuca%20cuticularis.jpg
m30,Santalum spicatum,Sandalwood,"Willarak, Uilarac, Waang, wolgol, Wollgat",bush_medicine,y,n,y,y,n,y,y,y,y,y,y,y,"Inner bark used to treat coughs and bronchitis.
Oil from nuts used to treat colds, stiffness, and skin rashes.
Leaves used to treat burns, scalds, and sores.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Santalum%20spicatum.jpg
m31,Pycnoporus coccineus,Scarlet Bracket Fungus,Botting,bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,"Fungus used to treat oral thrush, sore lips, and relieve teething.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Pycnoporus%20coccineus.jpg
