species_id,species_name,common_name,category,i6,i5,i1,i2,i3,i4,s1,s2,s3,s4,s5,s6,species_info,photo_hlink
w103,Melaleuca systena,Coastal Honey-myrtle,wildflower,y,y,n,y,y,y,y,y,n,n,y,y,Soft dense shrub to 0.5m. Large yellow-cream pompom flowers Aug-Mar.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Melaleuca%20systena.jpg
w104,Melaleuca teretifolia,Banbar,wildflower,y,y,n,y,n,n,y,n,n,n,y,y,Floriferous erect shrub or small tree to 5m. Long spikes of cream flowers Sep-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Melaleuca%20teretifolia.jpg
w105,Melaleuca viminea subsp. viminea,Weeping Honey-myrtle,wildflower,y,y,y,y,y,y,n,n,n,y,y,y,"Wiry, erect shrub or tree 1-5m. Gorgeous white bottlebrush-like flowers Jul-Nov.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Melaleuca%20viminea%20subsp.%20viminea.jpg
w106,Melaleuca violacea,,wildflower,n,n,n,n,n,y,n,n,n,y,y,y,Colourful groundcover to 10cm x 1m with blue-grey foliage. Masses of purple flowers Jul-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Melaleuca%20violacea.jpg
w107,Nematolepis phebalioides,,wildflower,n,n,y,n,n,y,y,y,y,y,y,y,Attractive erect shrub with glossy foliage to 80cm. Tubular red flowers with green tips Mar-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Nematolepis%20phebalioides.jpg
w108,Olearia axillaris,Coast Daisy-bush,wildflower,y,y,n,y,y,y,n,y,y,y,n,n,Dense erect shrub to 3m. White-yellow flowers Mar-Jul.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Olearia%20axillaris.jpg
w109,Orthrosanthus laxus var. laxus,Morning Iris,wildflower,y,y,y,y,y,y,n,n,n,n,y,y,Colourful tufted clumping perennial to 60cm. Blue flowers Aug-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Orthrosanthus%20laxus%20var.%20laxus.jpg
w110,Orthrosanthus polystachyus,Many Spike Orthrosanthus,wildflower,n,n,n,n,y,y,y,n,n,n,n,y,Highly floriferous clumping perennial to 1m. Rich blue flowers Oct-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Orthrosanthus%20polystachyus.jpg
w111,Pelargonium drummondii,Austral Stork's-bill,wildflower,n,n,n,n,y,y,n,n,n,n,y,y,Delightful perennial herb to 40cm. Pink/white flowers Sep-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Pelargonium%20drummondii.jpg
w112,Phymatocarpus maxwellii,,wildflower,n,n,n,n,n,y,n,n,n,n,y,y,Showy upright shrub to 1.5m. Pompom purple flowers Aug-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Phymatocarpus%20maxwellii.jpg
w113,Pimelea brachyphylla,,wildflower,n,n,y,n,n,y,n,n,n,y,y,y,Erect to spreading shrub to 1m. Dainty white terminal flower heads Jun-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Pimelea%20brachyphylla.jpg
w114,Pimelea ferruginea,Pink Rice-flower,wildflower,y,y,n,y,y,y,n,n,n,n,y,y,Striking colourful shrub to 1m. Masses of pink flowers Sep-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Pimelea%20ferruginea.jpg
w115,Prostanthera baxteri,,wildflower,n,n,n,n,n,y,n,n,n,n,y,y,Attractive erect shrub to 1.5m. Pretty white flowers with spotted throat and contrasting calyx Aug-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Prostanthera%20baxteri.jpg
w116,Prostanthera serpyllifolia subsp. microphylla,Small-leaved Mint-bush,wildflower,n,n,y,n,n,y,y,n,y,y,y,y,Spreading or erect shrub to 60cm. Masses of red-pink tubular flowers Apr-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Prostanthera%20serpyllifolia%20subsp.%20microphylla.jpg
