species_id,species_name,common_name,category,i6,i5,i1,i2,i3,i4,s1,s2,s3,s4,s5,s6,species_info,photo_hlink
w11,Anigozanthos flavidus,Tall Kangaroo Paw,wildflower,n,y,n,y,y,y,y,n,n,n,n,y,Upright strappy clumping plant to <2m. Red flowers Nov-Jan.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Anigozanthos%20flavidus.jpg
w12,Astartea glomerulosa,Early Astartea,wildflower,n,n,n,n,n,y,y,n,n,n,n,y,Erect compact shrub to 1m. Masses of small white/pink flowers Oct-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Astartea%20glomerulosa.jpg
w13,Astartea scoparia,Common Astartea,wildflower,y,y,n,y,y,y,y,n,n,n,n,y,Erect open shrub to 1.8m. Masses of small white flowers Nov-Jan.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Astartea%20scoparia.jpg
w14,Astus tetragonus,,wildflower,n,n,n,n,n,y,n,n,n,y,y,y,Slender erect/spreading shrub to 2m. Masses of white/pink flowers Jul-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Astus%20tetragonus.jpg
w15,Austrobaeckea pygmaea,,wildflower,n,n,n,n,n,y,y,y,n,n,n,y,Open spreading shrub to 50cm. White/ white-pink flowers Oct-Mar.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Austrobaeckea%20pygmaea.jpg
w16,Austrostipa flavescens,Coast Spear-grass,wildflower,y,y,n,y,y,y,n,n,n,n,y,y,Attractive tufted perennial grass with flowering stems to 1.2m.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Austrostipa%20flavescens.jpg
w17,Babingtonia grandiflora,Large-flowered Babingtonia,wildflower,y,n,n,n,n,n,y,n,n,n,y,y,Spreading open shrub to 1.2m. Sprays of white-pink flowers Aug-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Babingtonia%20grandiflora.jpg
w18,Banksia attenuata,Coast Banksia,wildflower,y,y,y,y,y,y,y,y,n,n,n,y,Small slender tree to 5m. Spikes of yellow flower heads Oct-Feb.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Banksia%20attenuata.jpg
w19,Banksia littoralis,Swamp Banksia,wildflower,y,y,y,y,y,y,n,y,y,y,y,n,Attractive tree to 1.5-12m. Yellow/orange flowers Mar-Aug.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Banksia%20littoralis.jpg
w20,Banksia media,Golden Stalk Banksia,wildflower,n,n,n,n,n,y,n,y,y,y,y,n,Attractive shrub to 1.5m. Large cylindrical yellow-orange/brown flowers Mar-Aug.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Banksia%20media.jpg
w21,Banksia menziesii,Firewood Banksia,wildflower,y,y,y,y,y,n,n,y,y,y,y,y,Ornamental slow-growing tree to 7m. Large red (rarely yellow) terminal flowers Feb-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Banksia%20menziesii.jpg
w22,Banksia praemorsa,Cut-leaf Banksia,wildflower,y,y,n,y,y,y,n,n,n,y,y,y,Attractive tree-like shrub to 4m. Large green-yellow/red flowers Jul-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Banksia%20praemorsa.jpg
w23,Banksia speciosa,Showy Banksia,wildflower,n,n,n,n,n,y,y,n,n,n,y,y,An imposing and showy shrub to 3m. Yellow/cream terminal flowers Sep-Jan.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Banksia%20speciosa.jpg
w24,Beaufortia micrantha,Little Bottlebrush,wildflower,n,n,y,y,n,y,y,y,n,n,y,y,Colourful shrub to 1m. Masses of purple-pink flowers Sep-Feb.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Beaufortia%20micrantha.jpg
w25,Beaufortia sparsa,Swamp Bottlebrush,wildflower,n,n,n,n,y,y,y,y,y,n,y,y,"Erect or spreading evergreen shrub to 1-3m. Bright orange to red flowers mainly in summer, extending into autumn.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Beaufortia%20sparsa.jpg
w26,Beaufortia squarrosa,Sand Bottlebrush,wildflower,y,y,y,y,y,n,y,y,y,n,y,y,Open shrub to 1.5m. Attractive orange flowers Aug-May.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Beaufortia%20squarrosa.jpg
w27,Billardiera drummondii,,wildflower,n,n,n,n,n,y,y,n,n,n,n,n,Slender twining climber to 4m. Pendulous blue/purple flowers Jan.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Billardiera%20drummondii.jpg
w28,Billardiera heterophylla,Bluebell Creeper,wildflower,y,y,y,y,y,y,y,n,n,n,n,y,Twining climber with support or along fence to 4m. Pendulous blue flowers Oct-Jan.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Billardiera%20heterophylla.jpg
w29,Billardiera lehmanniana,,wildflower,n,n,y,y,n,y,y,n,n,n,y,y,Colourful spreading climber to 1.2m or shrub to 60cm. Masses of white flowers Aug-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Billardiera%20lehmanniana.jpg
w30,Billardiera variifolia,,wildflower,y,y,y,y,y,y,n,n,y,y,y,n,Twining shrubby climber to 10cm x 2.5m. Sprays of large blue pendant flowers May-Sept.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Billardiera%20variifolia.jpg
w31,Calothamnus gilesii,,wildflower,y,n,y,n,n,n,y,n,n,n,y,y,Upright narrow shrub to 3m. Bright red flowers Aug-Jan.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Calothamnus%20gilesii.jpg
w32,Calothamnus gracilis,,wildflower,n,n,y,n,n,y,y,n,n,n,y,y,Attractive spreading shrub to 1.5m x 1.5m. Large red flowers Sep-Dec or sporadically year round.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Calothamnus%20gracilis.jpg
w33,Calothamnus pinifolius,Dense Clawflower,wildflower,n,n,n,n,n,y,y,n,n,y,y,y,Interesting much-branched erect shrub to 1.2m. Dense red flowers Jul-Jan.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Calothamnus%20pinifolius.jpg
w34,Calothamnus quadrifidus subsp. homalophyllus,,wildflower,y,n,n,n,n,n,y,n,n,y,y,y,Attractive upright shrub with pine-like foliage to <5m. Showy red flowers Jun-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Calothamnus%20quadrifidus.jpg
w35,Calothamnus robustus,,wildflower,n,n,n,n,n,y,n,n,n,n,y,y,Erect compact shrub to 1.5m. Attractive red claw-flowers Sep-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Calothamnus%20robustus.jpg
w36,Calothamnus villosus,Hairy Calothamnus,wildflower,n,n,n,n,n,y,y,y,y,y,y,y,Spreading shrub with hairy foliage to 1m. Red flowers Mar-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Calothamnus%20villosus.jpg
w37,Calytrix acutifolia,,wildflower,y,y,n,y,n,n,n,n,n,n,y,y,Slender open-branched shrub to 2m. Masses of white star-like flowers Sep-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Calytrix%20acutifolia.jpg
w38,Calytrix tetragona,Common Fringe-myrtle,wildflower,n,n,y,y,n,y,n,n,n,n,y,y,Narrow upright shrub to 1.2m. Abundant white star flowers Aug-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Calytrix%20tetragona.jpg
w39,Centella asiatica,Asiatic Pennywort,wildflower,y,y,n,y,y,y,y,y,y,n,n,y,Creeping perennial herb with large green leaves to 40cm. Very small pink/purple/white flowers Nov-Apr.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Centella%20asiatica.jpg
w40,Chamelaucium ciliatum,,wildflower,n,n,y,n,n,y,n,n,n,n,y,y,Attractive small shrub to 0.3-1m. Profuse white/pink flowers Aug-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Chamelaucium%20ciliatum.jpg
w41,Chamelaucium uncinatum,Geraldton Wax,wildflower,y,y,y,y,y,n,y,n,n,n,n,y,Compact rounded shrub to 60cm. Attractive pink flowers Oct-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Chamelaucium%20uncinatum.jpg
w42,Chorizema varium,Bush Flame Pea,wildflower,y,n,n,n,n,n,n,n,n,y,y,y,"Bright spreading shrub to 40cm. Orange, yellow, red/pink, pea flowers Jul-Oct.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Chorizema%20varium.jpg
w43,Clematis linearifolia,Small Leaf Clematis,wildflower,y,y,n,y,y,y,n,n,n,y,y,y,Floriferous climber to 5m. Large white/cream flowers Jul-Oct then silky feathery awns.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Clematis%20linearifolia.jpg
w44,Commersonia corylifolia,,wildflower,n,n,n,n,y,y,y,n,n,n,n,y,Small shrub to 1m. Cream/white flowers Oct-Dec with interesting buds/fruit.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Commersonia%20corylifolia.jpg
w45,Boronia ramosa var. anethifolius,,wildflower,y,y,y,y,y,y,n,n,y,y,y,y,Slender woody shrub to about 0.3m. Small blue flowers from May - Oct,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Boronia%20ramosa%20var.%20anethifolius.jpg
w46,Dampiera teres,,wildflower,y,y,n,n,n,n,n,n,n,n,y,y,Colourful erect perennial to 60cm. Stunning blue flowers Aug-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Dampiera%20teres.jpg
w47,Disphyma crassifolium subsp. clavellatum,Rounded Noon-flower,wildflower,n,y,n,n,n,y,y,y,n,n,y,y,Succulent groundcover to 20cm x 1m. Pink/purple flowers Aug-Feb.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Disphyma%20crassifolium%20subsp.%20clavellatum.jpg
w48,Dodonaea adenophora,,wildflower,n,y,y,y,n,n,n,n,n,n,y,y,Floriferous erect to spreading shrub to 2m. Masses of red lantern like flowers Aug-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Dodonaea%20adenophora.jpg
w49,Dodonaea hackettiana,Hacket's Hopbush,wildflower,y,y,n,y,n,n,n,n,n,y,y,y,Shrub to 2-3m. Green flowers Jul-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Dodonaea%20hackettiana.jpg
w50,Dodonaea inaequifolia,,wildflower,y,n,y,n,n,n,n,n,n,n,y,y,Erect fine-leaved shrub to <5m. Masses of conspicuous red flowers late Aug-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Dodonaea%20inaequifolia.jpg
w51,Eremaea asterocarpa subsp. asterocarpa,,wildflower,y,y,n,y,n,n,n,n,n,n,y,y,Attractive compact shrub to 1m. Prolific orange flowers Aug-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eremaea%20asterocarpa%20subsp.%20asterocarpa.jpg
w52,Eremaea ectadioclada,,wildflower,y,n,n,n,n,n,n,n,n,n,y,y,Attractive erect to spreading shrub to 80cm. Prolific orange flowers Sep-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eremaea%20ectadioclada.jpg
w53,Eremophila calorhabdos,Red Rod,wildflower,n,n,y,n,n,n,y,n,n,n,n,y,Erect spindly shrub to 1-2m. Attractive red/pink-purple/red flowers Oct-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eremophila%20calorhabdos.jpg
w54,Eremophila drummondii,Drummond's Eremophila,wildflower,y,n,y,n,n,n,n,n,n,y,y,y,Highly floriferous erect shrub to 2m. Attractive blue-purple flowers Jul-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eremophila%20drummondii.jpg
w55,Eremophila glabra,Tar Bush,wildflower,y,y,y,y,n,y,y,y,y,y,n,y,Highly floriferous prostrate groundcover to 30cm x 1m. Tubular yellow flowers Oct-Jun.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eremophila%20glabra.jpg
w56,Eremophila racemosa,Showy Eremophila,wildflower,n,n,y,n,n,n,y,n,n,n,y,y,"Attractive upright shrub to 1.5m. Purple, pink, red flowers Aug-Dec.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eremophila%20racemosa.jpg
w57,Eremophila subfloccosa subsp. subfloccosa,,wildflower,n,n,y,n,n,n,n,n,n,y,y,n,"Fluffy, low spreading shrub to 80cm. Snake-like green flowers with red stamens Jul-Sep.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eremophila%20subfloccosa%20subsp.%20subfloccosa.jpg
w58,Eucalyptus erythrocorys,Red-capped Gum,wildflower,y,y,n,y,n,n,n,y,y,n,n,n,Highly ornamental tree to 8m. Beautiful red-capped buds into striking yellow flowers Feb-Apr.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eucalyptus%20erythrocorys.jpg
w59,Eucalyptus macrandra,Flowering Marlock,wildflower,n,y,y,y,n,y,y,y,y,n,y,y,Beautiful mallee or tree to 8m. Abundant yellow flowers Aug-Apr.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eucalyptus%20macrandra.jpg
w60,Eucalyptus macrocarpa subsp. elachantha,Small-leaved Mottlecah,wildflower,y,n,n,n,n,n,y,n,n,n,y,y,Spreading mallee with grey foliage to 2m. Stunning cerise red flowers Aug-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eucalyptus%20macrocarpa%20subsp.%20elachantha.jpg
w61,Eucalyptus pleurocarpa,Tallerack,wildflower,y,n,y,n,n,y,y,y,y,n,n,y,Spreading mallee with striking blue foliage to 4m. Pretty cream flowers with silver buds Oct-Apr.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eucalyptus%20pleurocarpa.jpg
w62,Eucalyptus tenera,Sand Mallee,wildflower,y,n,y,n,n,y,y,y,n,n,y,y,Graceful spreading mallee to 2-3m with smooth copper-brown bark. Stunning yellow flowers Sep-Mar.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eucalyptus%20tenera.jpg
w63,Eucalyptus torquata,Coral Gum,wildflower,n,y,y,n,n,n,y,n,n,n,y,y,Highly decorative small compact tree to 4-6m+. A spectacular show of salmon-pink flowers Aug-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eucalyptus%20torquata.jpg
w64,Eutaxia myrtifolia,,wildflower,n,n,n,n,y,y,y,n,n,y,y,y,Attractive low shrub to 2m. Pretty yellow/red bacon and egg pea flowers Jul-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eutaxia%20myrtifolia.jpg
w65,Frankenia pauciflora,Southern Sea Heath,wildflower,y,y,y,y,y,n,y,y,n,y,y,y,Prostrate to ascending shrub to 50cm. Pretty white flowers Jun-Feb.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Frankenia%20pauciflora.jpg
w66,Gastrolobium calycinum,York Road Poison,wildflower,y,y,y,y,n,y,n,n,y,y,y,n,Erect compact shrub to 1.5m. Orange yellow pea flowers May-Sept.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Gastrolobium%20calycinum.jpg
w67,Gastrolobium ebracteolatum,,wildflower,y,y,y,y,y,y,y,n,n,n,n,y,Slender erect shrub to 2-4m. Bright yellow/red pea flowers Oct-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Gastrolobium%20ebracteolatum.jpg
w68,Gastrolobium melanopetalum,,wildflower,n,n,n,n,y,y,n,n,n,n,y,y,Ascending to erect shrub to 3m. Unique black flowers Sep-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Gastrolobium%20melanopetalum.jpg
w69,Gompholobium aristatum,,wildflower,y,y,n,y,n,n,y,n,n,n,y,y,Erect shrub to 80cm. Attractive bright yellow pea flowers Sep-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Gompholobium%20aristatum.jpg
w70,Grevillea concinna subsp. lemanniana,Red Combs Grevillea,wildflower,n,n,n,n,n,y,y,n,y,y,y,y,"Attractive dense, spreading shrub to about 0.5-1.5m x 1-1.5m wide. Profuse toothbrush-shaped flowers are lemonish green becoming orange-brown, with bright red styles. Flowers mostly May - Dec",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Grevillea%20concinna%20subsp.%20lehmanniana.jpg
w71,Grevillea crithmifolia,,wildflower,y,y,n,y,n,n,n,n,n,y,y,y,Dense spreading shrub to 0.6m. Abundant white flowers Jun-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Grevillea%20crithmifolia.jpg
w72,Grevillea obtusifolia,,wildflower,y,y,n,y,n,n,n,n,n,n,y,y,Widely spreading dense shrub to 50cm x 2m. Delicate red/pink flowers Aug-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Grevillea%20obtusifolia.jpg
w73,Grevillea preissii,Spider Net Grevillea,wildflower,y,y,n,y,n,n,n,n,y,y,y,y,Appealing upright shrub with green foliage to 1.5m. Profuse dainty red toothbrush-like flowers May-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Grevillea%20preissii.jpg
w74,Guichenotia macrantha,Large-flowered Guichenotia,wildflower,y,y,y,y,n,n,n,n,y,y,y,n,Attractive shrub to 1.2m. Purple/pink flowers May-Sep.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Guichenotia%20macrantha.jpg
w75,Hakea recurva subsp. recurva,,wildflower,y,n,y,n,n,n,n,n,n,y,y,n,"Tall, spikey shrub or tree to 6m. Clusters of cream-white to yellow flowers Jun-Sep.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Hakea%20recurva%20subsp.%20recurva.jpg
w76,Hibbertia cunninghamii,,wildflower,n,y,n,y,y,y,y,n,n,n,y,y,Sprawling shrub to 70cm. Large golden-yellow flowers Aug-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Hibbertia%20cunninghamii.jpg
w77,Hibbertia grossulariifolia,Gooseberry-leaved Hibbertia,wildflower,n,n,n,n,y,y,y,n,n,n,y,y,Gooseberry-leaved guinea flowered groundcover to 15cm x 1.2m.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Hibbertia%20grossulariifolia.jpg
w78,Hibbertia racemosa,Stalked Guinea Flower,wildflower,y,y,n,y,y,y,y,n,n,y,y,y,Spreading shrub to 75cm. Golden-yellow flowers Jul-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Hibbertia%20racemosa.jpg
w79,Hibbertia stellaris,Guinea Flower,wildflower,y,y,n,y,y,y,y,n,n,n,y,y,"Small shrub usually less than 0.5m high.Profuse yellow to orange, star-shaped flowers occur Aug - Dec.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Hibbertia%20stellaris.jpg
w80,Hibbertia subvaginata,,wildflower,y,y,y,y,y,y,y,n,n,y,y,y,Compact spreading shrub to 75cm. Blue-green leaves gives an interesting foliage contrast. Yellow flowers Jul-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Hibbertia%20subvaginata.jpg
w81,Hypocalymma balbakiae,White Myrtle,wildflower,y,y,y,y,y,y,n,n,n,n,y,y,Attractive small shrub to 1.3m. Abundant creamy white or pink flowers Aug-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Hypocalymma%20balbakiae.jpg
w82,Hypocalymma elongatum,,wildflower,n,n,n,n,n,y,y,n,n,n,n,y,Showy small shrub to 1m. Sprays of pinkish white flowers Nov-Jan.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Hypocalymma%20elongatum.jpg
w83,Hypocalymma tetrapterum,Papillose Myrtle,wildflower,y,n,n,n,n,n,n,n,n,y,y,n,Attractive rounded shrub to 40cm. Lacy white flowers Jun-Aug.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Hypocalymma%20tetrapterum.jpg
w84,Kennedia prostrata,Running Postman,wildflower,y,y,y,y,y,y,n,n,y,y,y,y,Colourful prostrate groundcover to 15cm x 3m. Red pea flowers Apr-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Kennedia%20prostrata.jpg
